

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.060  000.056: event init
000.126  000.065: early init
000.257  000.131: locale set
000.283  000.026: init first window
000.497  000.215: inits 1
000.509  000.012: window checked
000.511  000.002: parsing arguments
000.886  000.072  000.072: require('vim.shared')
000.991  000.033  000.033: require('vim._meta')
000.993  000.103  000.070: require('vim._editor')
000.994  000.200  000.025: require('vim._init_packages')
000.995  000.284: init lua interpreter
001.048  000.052: expanding arguments
001.074  000.027: inits 2
001.384  000.309: init highlight
001.385  000.001: waiting for UI
001.594  000.210: done waiting for UI
001.604  000.010: clear screen
001.728  000.124: init default mappings
001.740  000.012: init default autocommands
002.549  000.056  000.056: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
002.733  000.027  000.027: sourcing /usr/local/share/nvim/runtime/indent.vim
002.892  000.053  000.053: require('utils')
002.974  000.005  000.005: require('vim.keymap')
004.951  000.080  000.080: require('nvim-tree.iterators.node-iterator')
004.981  000.612  000.533: require('nvim-tree.utils')
004.985  000.764  000.151: require('nvim-tree.events')
005.333  000.085  000.085: require('nvim-tree.log')
077.809  072.474  072.474: require('nvim-tree.git.utils')
078.237  000.407  000.407: require('nvim-tree.git.runner')
078.451  000.211  000.211: require('nvim-tree.watcher')
078.462  073.398  000.221: require('nvim-tree.git')
078.642  000.177  000.177: require('nvim-tree.explorer.watch')
078.753  000.107  000.107: require('nvim-tree.explorer.common')
079.023  000.136  000.136: require('nvim-tree.explorer.node-builders')
079.167  000.142  000.142: require('nvim-tree.explorer.sorters')
079.275  000.107  000.107: require('nvim-tree.explorer.filters')
079.885  000.434  000.434: require('nvim-tree.view')
079.890  000.613  000.179: require('nvim-tree.live-filter')
079.893  001.138  000.141: require('nvim-tree.explorer.explore')
080.053  000.158  000.158: require('nvim-tree.explorer.reload')
080.057  075.071  000.093: require('nvim-tree.explorer')
080.062  075.922  000.088: require('nvim-tree.core')
080.290  000.226  000.226: require('nvim-tree.diagnostics')
080.453  000.160  000.160: require('nvim-tree.renderer.components.padding')
080.587  000.133  000.133: require('nvim-tree.renderer.components.icons')
080.735  000.146  000.146: require('nvim-tree.renderer.components.full-name')
080.859  000.122  000.122: require('nvim-tree.renderer.help')
081.042  000.181  000.181: require('nvim-tree.renderer.components.git')
081.392  000.348  000.348: require('nvim-tree.renderer.builder')
081.519  000.125  000.125: require('nvim-tree.marks')
081.530  077.513  000.151: require('nvim-tree.renderer')
081.634  000.099  000.099: require('nvim-tree.actions.tree-modifiers.collapse-all')
081.707  000.071  000.071: require('nvim-tree.actions.root.dir-up')
081.884  000.175  000.175: require('nvim-tree.actions.root.change-dir')
082.053  000.167  000.167: require('nvim-tree.actions.reloaders.reloaders')
082.198  000.142  000.142: require('nvim-tree.actions.finders.find-file')
082.200  078.318  000.150: require('nvim-tree.lib')
082.384  000.182  000.182: require('nvim-tree.colors')
082.641  000.254  000.254: require('nvim-tree.legacy')
082.873  000.230  000.230: require('nvim-tree.actions.fs.copy-paste')
083.118  000.105  000.105: require('nvim-tree.actions.tree-modifiers.expand-all')
083.223  000.099  000.099: require('nvim-tree.actions.tree-modifiers.toggles')
083.382  000.157  000.157: require('nvim-tree.actions.fs.create-file')
083.478  000.094  000.094: require('nvim-tree.actions.fs.rename-file')
083.626  000.144  000.144: require('nvim-tree.actions.fs.trash')
083.755  000.126  000.126: require('nvim-tree.actions.fs.remove-file')
083.835  000.078  000.078: require('nvim-tree.actions.moves.parent')
083.919  000.081  000.081: require('nvim-tree.actions.moves.sibling')
084.000  000.079  000.079: require('nvim-tree.actions.moves.item')
084.151  000.106  000.106: require('nvim-tree.actions.finders.search-node')
084.218  000.064  000.064: require('nvim-tree.actions.node.run-command')
084.374  000.155  000.155: require('nvim-tree.actions.node.file-popup')
084.500  000.122  000.122: require('nvim-tree.actions.node.system-open')
084.590  000.087  000.087: require('nvim-tree.marks.bulk-move')
084.593  001.717  000.218: require('nvim-tree.actions.dispatch')
084.604  081.239  000.537: require('nvim-tree')
084.964  000.234  000.234: require('nvim-tree.actions.node.open-file')
084.968  000.343  000.108: require('nvim-tree.marks.navigation')
084.970  081.968  000.387: require('nvim-tree.api')
086.220  000.084  000.084: require('plenary.tbl')
086.227  000.210  000.126: require('plenary.vararg.rotate')
086.229  000.274  000.064: require('plenary.vararg')
086.303  000.073  000.073: require('plenary.errors')
086.409  000.104  000.104: require('plenary.functional')
086.412  000.602  000.151: require('plenary.async.async')
086.525  000.112  000.112: require('plenary.async.structs')
086.531  000.905  000.191: require('plenary.async.control')
089.055  000.268  000.268: require('plenary.bit')
089.208  000.137  000.137: require('ffi')
089.331  001.238  000.833: require('plenary.path')
089.398  001.520  000.282: require('plenary.strings')
089.496  000.097  000.097: require('telescope.deprecated')
090.249  000.236  000.236: require('plenary.log')
090.267  000.325  000.089: require('telescope.log')
091.063  000.411  000.411: require('plenary.job')
091.154  000.088  000.088: require('telescope.state')
091.162  000.893  000.394: require('telescope.utils')
091.168  001.670  000.451: require('telescope.sorters')
091.216  000.039  000.039: require('vim.inspect')
091.392  000.006  000.006: require('vim.F')
092.722  005.201  001.870: require('telescope.config')
093.530  000.260  000.260: require('plenary.window.border')
093.613  000.078  000.078: require('plenary.window')
093.708  000.093  000.093: require('plenary.popup.utils')
093.712  000.984  000.553: require('plenary.popup')
093.875  000.160  000.160: require('telescope.pickers.scroller')
093.976  000.100  000.100: require('telescope.actions.state')
094.143  000.165  000.165: require('telescope.actions.utils')
094.613  000.191  000.191: require('telescope.actions.mt')
094.632  000.486  000.295: require('telescope.actions.set')
094.974  000.183  000.183: require('telescope.config.resolve')
094.977  000.343  000.161: require('telescope.pickers.entry_display')
095.066  000.088  000.088: require('telescope.from_entry')
095.251  008.718  001.191: require('telescope.actions')
096.416  000.965  000.965: require('telescope.make_entry')
096.872  000.162  000.162: require('plenary.async.util')
096.878  000.250  000.089: require('plenary.async.tests')
096.880  000.350  000.099: require('plenary.async')
096.882  000.463  000.113: require('telescope.finders.async_static_finder')
097.380  000.101  000.101: require('plenary.class')
097.398  000.381  000.280: require('telescope._')
097.400  000.517  000.136: require('telescope.finders.async_oneshot_finder')
097.519  000.117  000.117: require('telescope.finders.async_job_finder')
097.525  002.271  000.210: require('telescope.finders')
099.025  000.109  000.109: require('telescope._extensions')
099.030  000.285  000.176: require('telescope')
099.228  000.194  000.194: require('telescope.debounce')
099.527  000.296  000.296: require('telescope.mappings')
099.701  000.171  000.171: require('telescope.pickers.highlights')
099.815  000.112  000.112: require('telescope.pickers.window')
100.291  000.225  000.225: require('telescope.algos.linked_list')
100.296  000.474  000.249: require('telescope.entry_manager')
100.426  000.128  000.128: require('telescope.pickers.multi')
100.448  002.921  001.260: require('telescope.pickers')
100.460  015.232  000.416: require('telescope.builtin.__lsp')
100.498  015.502  000.270: require('telescope.builtin')
103.899  000.211  000.211: require('vim.lsp.log')
104.742  000.838  000.838: require('vim.lsp.protocol')
106.323  000.363  000.363: require('vim.lsp._snippet')
106.517  000.170  000.170: require('vim.highlight')
106.534  001.788  001.254: require('vim.lsp.util')
106.546  003.415  000.578: require('vim.lsp.handlers')
107.082  000.534  000.534: require('vim.lsp.rpc')
107.338  000.252  000.252: require('vim.lsp.sync')
107.744  000.403  000.403: require('vim.lsp.semantic_tokens')
108.244  000.497  000.497: require('vim.lsp.buf')
108.525  000.278  000.278: require('vim.lsp.diagnostic')
108.811  000.283  000.283: require('vim.lsp.codelens')
108.861  007.900  002.236: require('vim.lsp')
109.052  106.158  000.784: require('keymaps')
109.610  000.252  000.252: require('onedark')
110.719  001.375  001.123: sourcing /home/amyth/.local/share/nvim/site/pack/packer/start/onedark.nvim/colors/onedark.vim
110.733  001.677  000.302: require('options')
111.676  000.036  000.036: require('luasnip.session')
111.684  000.440  000.404: require('luasnip.util.util')
111.863  000.177  000.177: require('luasnip.session.snippet_collection')
112.417  000.436  000.436: require('luasnip.util._builtin_vars')
112.525  000.660  000.224: require('luasnip.util.environ')
112.593  000.065  000.065: require('luasnip.util.extend_decorator')
112.752  000.038  000.038: require('luasnip.loaders._caches')
112.879  000.125  000.125: require('luasnip.util.path')
112.895  000.299  000.136: require('luasnip.loaders')
113.026  000.126  000.126: require('luasnip.util.log')
113.332  000.031  000.031: require('luasnip.util.types')
113.425  000.090  000.090: require('luasnip.util.ext_opts')
113.493  000.066  000.066: require('luasnip.extras.filetype_functions')
113.647  000.586  000.399: require('luasnip.config')
113.651  002.875  000.523: require('luasnip')
113.937  000.143  000.143: require('luasnip.loaders.util')
113.943  000.291  000.148: require('luasnip.loaders.from_lua')
115.561  000.136  000.136: require('luasnip.nodes.util')
115.603  000.038  000.038: require('luasnip.util.events')
